Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,6542,697,5845,1593,372,520,214,29,0.106542,0.653308,0.326428,0.183207,,,1.73470299241,0.578947368421
INDEL,PASS,6542,697,5845,1593,372,520,214,29,0.106542,0.653308,0.326428,0.183207,,,1.73470299241,0.578947368421
SNP,ALL,41061,7404,33657,14187,3235,3548,2213,113,0.180317,0.69593,0.250088,0.286422,2.4099626401,2.10972404731,1.89743046732,0.523702031603
SNP,PASS,41061,7404,33657,14187,3235,3548,2213,113,0.180317,0.69593,0.250088,0.286422,2.4099626401,2.10972404731,1.89743046732,0.523702031603
